Tumor	abbe
Tubular Adenoma of the Colon 	TAC
Adenomyoepithelioma of the Breast 	BRAME
Breast Ductal Carcinoma In Situ 	DCIS
Breast Fibroepithelial Neoplasms 	BFN
Breast Lobular Carcinoma In Situ 	LCIS
Breast Neoplasm, NOS 	BNNOS
Breast Sarcoma 	PBS
Inflammatory Breast Cancer 	IBC
Invasive Breast Carcinoma 	BRCA
Juvenile Secretory Carcinoma of the Breast 	JSCB
Metaplastic Breast Cancer 	MBC
Choroid Plexus Tumor 	CPT
Diffuse Glioma 	DIFG
Embryonal Tumor 	EMBT
Encapsulated Glioma 	ENCG
Ependymomal Tumor 	EPMT
Germ Cell Tumor, Brain 	BGCT
Meningothelial Tumor 	MNGT
Miscellaneous Brain Tumor 	MBT
Miscellaneous Neuroepithelial Tumor 	MNET
Pineal Tumor 	PINT
Primary CNS Melanocytic Tumors 	PCNSMT
Sellar Tumor 	SELT
Cervical Adenocarcinoma 	CEAD
Cervical Adenocarcinoma In Situ 	CEAIS
Cervical Adenoid Basal Carcinoma 	CABC
Cervical Adenoid Cystic Carcinoma 	CACC
Cervical Adenosquamous Carcinoma 	CEAS
Cervical Leiomyosarcoma 	CELI
Cervical Neuroendocrine Tumor 	CENE
Cervical Rhabdomyosarcoma 	CERMS
Cervical Squamous Cell Carcinoma 	CESC
Glassy Cell Carcinoma of the Cervix 	CEGCC
Mixed Cervical Carcinoma 	MCCE
Small Cell Carcinoma of the Cervix 	SCCE
Villoglandular Adenocarcinoma of the Cervix 	VGCE
Esophageal Poorly Differentiated Carcinoma 	EPDCA
Esophageal Squamous Cell Carcinoma 	ESCC
Esophagogastric Adenocarcinoma 	EGC
Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach 	GINETES
Mucosal Melanoma of the Esophagus 	ESMM
Smooth Muscle Neoplasm, NOS 	SMN
Lacrimal Gland Tumor 	LGT
Ocular Melanoma 	OM
Retinoblastoma 	RBL
Head and Neck Carcinoma, Other 	OHNCA
Head and Neck Mucosal Melanoma 	HNMUCM
Head and Neck Squamous Cell Carcinoma 	HNSC
Nasopharyngeal Carcinoma 	NPC
Parathyroid Cancer 	PTH
Salivary Carcinoma 	SACA
Sialoblastoma 	SBL
Clear Cell Sarcoma of Kidney 	CCSK
Renal Cell Carcinoma 	RCC
Renal Neuroendocrine Tumor 	RNET
Rhabdoid Cancer 	MRT
Wilms' Tumor 	WT
Fibrolamellar Carcinoma 	FLC
Hepatoblastoma 	LIHB
Hepatocellular Adenoma 	LIAD
Hepatocellular Carcinoma 	HCC
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma 	HCCIHCH
Liver Angiosarcoma 	LIAS
Malignant Nonepithelial Tumor of the Liver 	LIMNET
Malignant Rhabdoid Tumor of the Liver 	MRTL
Undifferentiated Embryonal Sarcoma of the Liver 	UESL
Combined Small Cell Lung Carcinoma 	CSCLC
Inflammatory Myofibroblastic Lung Tumor 	IMTL
Lung Adenocarcinoma In Situ 	LAIS
Lung Neuroendocrine Tumor 	LNET
Non-Small Cell Lung Cancer 	NSCLC
Pleuropulmonary Blastoma 	PPB
Pulmonary Lymphangiomyomatosis 	LAM
Sarcomatoid Carcinoma of the Lung 	SARCL
Lymphoid Atypical 	LATL
Lymphoid Benign 	LBGN
Lymphoid Neoplasm 	LNM
Myeloid Atypical 	MATPL
Myeloid Benign 	MBGN
Myeloid Neoplasm 	MNM
Adenocarcinoma In Situ 	AIS
Cancer of Unknown Primary 	CUP
Extra Gonadal Germ Cell Tumor 	EGCT
Mixed Cancer Types 	MIXED
Ovarian Cancer, Other 	OOVC
Ovarian Epithelial Tumor 	OVT
Ovarian Germ Cell Tumor 	OGCT
Sex Cord Stromal Tumor 	SCST
Acinar Cell Carcinoma of the Pancreas 	PAAC
Adenosquamous Carcinoma of the Pancreas 	PAASC
Cystic Tumor of the Pancreas 	PACT
Pancreatic Adenocarcinoma 	PAAD
Pancreatic Neuroendocrine Tumor 	PANET
Pancreatoblastoma 	PB
Solid Pseudopapillary Neoplasm of the Pancreas 	SPN
Undifferentiated Carcinoma of the Pancreas 	UCP
Penile Squamous Cell Carcinoma 	PSCC
Ganglioneuroblastoma 	GNBL
Ganglioneuroma 	GN
Nerve Sheath Tumor 	NST
Neuroblastoma 	NBL
Peritoneal Mesothelioma 	PEMESO
Peritoneal Serous Carcinoma 	PSEC
Pleural Mesothelioma 	PLMESO
Prostate Adenocarcinoma 	PRAD
Prostate Neuroendocrine Carcinoma 	PRNE
Prostate Small Cell Carcinoma 	PRSCC
Prostate Squamous Cell Carcinoma 	PRSC
Aggressive Digital Papillary Adenocarcinoma 	ADPA
Atypical Fibroxanthoma 	AFX
Atypical Nevus 	AN
Basal Cell Carcinoma 	BCC
Cutaneous Squamous Cell Carcinoma 	CSCC
Dermatofibroma 	DF
Dermatofibrosarcoma Protuberans 	DFSP
Desmoplastic Trichoepithelioma 	DTE
Endocrine Mucin Producing Sweat Gland Carcinoma 	EMPSGC
Extramammary Paget Disease 	EMPD
Melanoma 	MEL
Merkel Cell Carcinoma 	MCC
Microcystic Adnexal Carcinoma 	MAC
Porocarcinoma/Spiroadenocarcinoma 	POCA
Poroma/Acrospiroma 	PORO
Porphyria Cutania Tarda 	PCT
Proliferating Pilar Cystic Tumor 	PPCT
Sebaceous Carcinoma 	SEBA
Skin Adnexal Carcinoma 	SKAC
Spiroma/Spiradenoma 	SPIR
Sweat Gland Adenocarcinoma 	SGAD
Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma 	AECA
Aggressive Angiomyxoma 	AA
Alveolar Soft Part Sarcoma 	ASPS
Angiomatoid Fibrous Histiocytoma 	AFH
Angiosarcoma 	ANGS
Atypical Lipomatous Tumor 	ALT
Clear Cell Sarcoma 	CCS
Dendritic Cell Sarcoma 	DCS
Desmoid/Aggressive Fibromatosis 	DES
Desmoplastic Small-Round-Cell Tumor 	DSRCT
Epithelioid Hemangioendothelioma 	EHAE
Epithelioid Sarcoma 	EPIS
Ewing Sarcoma of Soft Tissue 	ESST
Fibrosarcoma 	FIBS
Gastrointestinal Stromal Tumor 	GIST
Glomangiosarcoma 	GS
Hemangioma 	HEMA
Infantile Fibrosarcoma 	IFS
Inflammatory Myofibroblastic Tumor 	IMT
Intimal Sarcoma 	INTS
Leiomyoma 	LM
Leiomyosarcoma 	LMS
Liposarcoma 	LIPO
Low-Grade Fibromyxoid Sarcoma 	LGFMS
Malignant Glomus Tumor 	MGST
Myofibroma 	MF
Myofibromatosis 	IMS
Myopericytoma 	MPC
Myxofibrosarcoma 	MFS
Myxoma 	MYXO
Paraganglioma 	PGNG
Perivascular Epithelioid Cell Tumor 	PECOMA
Pseudomyogenic Hemangioendothelioma 	PMHE
Radiation-Associated Sarcoma 	RAS
Rhabdomyosarcoma 	RMS
Round Cell Sarcoma, NOS 	RCSNOS
Sarcoma, NOS 	SARCNOS
Soft Tissue Myoepithelial Carcinoma 	STMYEC
Solitary Fibrous Tumor/Hemangiopericytoma 	SFT
Synovial Sarcoma 	SYNS
Tenosynovial Giant Cell Tumor Diffuse Type 	TGCT
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma 	MFH
Non-Seminomatous Germ Cell Tumor 	NSGCT
Seminoma 	SEM
Sex Cord Stromal Tumor 	TSCST
Testicular Lymphoma 	TLYM
Testicular Mesothelioma 	TMESO
Thymic Epithelial Tumor 	TET
Thymic Neuroendocrine Tumor 	TNET
Anaplastic Thyroid Cancer 	THAP
Hurthle Cell Thyroid Cancer 	THHC
Hyalinizing Trabecular Adenoma of the Thyroid 	HTAT
Medullary Thyroid Cancer 	THME
Oncocytic Adenoma of the Thyroid 	OAT
Poorly Differentiated Thyroid Cancer 	THPD
Well-Differentiated Thyroid Cancer 	WDTC
Endometrial Carcinoma 	UCEC
Gestational Trophoblastic Disease 	GTD
Other Uterine Tumor 	OUTT
Uterine Sarcoma/Mesenchymal 	USARC
Germ Cell Tumor of the Vulva 	VGCT
Mucinous Adenocarcinoma of the Vulva/Vagina 	VMA
Mucosal Melanoma of the Vulva/Vagina 	VMM
Poorly Differentiated Vaginal Carcinoma 	VPDC
Squamous Cell Carcinoma of the Vulva/Vagina 	VSC
Vaginal Adenocarcinoma 	VA
Intestinal Ampullary Carcinoma 	IAMPCA
Mixed Ampullary Carcinoma 	MAMPCA
Pancreatobiliary Ampullary Carcinoma 	PAMPCA
Extrahepatic Cholangiocarcinoma 	EHCH
Intrahepatic Cholangiocarcinoma 	IHCH
Perihilar Cholangiocarcinoma 	PHCH
Adenosquamous Carcinoma of the Gallbladder 	GBASC
Gallbladder Adenocarcinoma, NOS 	GBAD
Small Cell Gallbladder Carcinoma 	SCGBC
Urachal Adenocarcinoma 	UA
Urethral Adenocarcinoma 	UAD
Urethral Squamous Cell Carcinoma 	USCC
Urethral Urothelial Carcinoma 	UCU
Dedifferentiated Chondrosarcoma 	DDCHS
Extraskeletal Myxoid Chondrosarcoma 	EMCHS
Mesenchymal Chondrosarcoma 	MCHS
Myxoid Chondrosarcoma 	MYCHS
Conventional Type Chordoma 	CCHDM
Dedifferentiated Chordoma 	DDCHDM
Chondroblastic Osteosarcoma 	CHOS
Fibroblastic Osteosarcoma 	FIOS
High-Grade Surface Osteosarcoma 	HGSOS
Low-Grade Central Osteosarcoma 	LGCOS
Osteoblastic Osteosarcoma 	OSOS
Parosteal Osteosarcoma 	PAOS
Periosteal Osteosarcoma 	PEOS
Secondary Osteosarcoma 	SECOS
Small Cell Osteosarcoma 	SCOS
Telangiectatic Osteosarcoma 	TEOS
Colonic Type Adenocarcinoma of the Appendix 	CTAAP
Goblet Cell Carcinoid of the Appendix 	GCCAP
Mucinous Adenocarcinoma of the Appendix 	MAAP
Signet Ring Cell Type of the Appendix 	SRAP
Colon Adenocarcinoma 	COAD
Colon Adenocarcinoma In Situ 	CAIS
Mucinous Adenocarcinoma of the Colon and Rectum 	MACR
Rectal Adenocarcinoma 	READ
Signet Ring Cell Adenocarcinoma of the Colon and Rectum 	SRCCR
High-Grade Neuroendocrine Carcinoma of the Colon and Rectum 	HGNEC
Small Bowel Well-Differentiated Neuroendocrine Tumor 	SBWDNET
Well-Differentiated Neuroendocrine Tumor of the Appendix 	AWDNET
Well-Differentiated Neuroendocrine Tumor of the Rectum 	RWDNET
Duodenal Adenocarcinoma 	DA
Paget Disease of the Nipple 	PD
Fibroadenoma 	FA
Phyllodes Tumor of the Breast 	PT
Breast Angiosarcoma 	BA
Adenoid Cystic Breast Cancer 	ACBC
Breast Carcinoma with Signet Ring 	BRSRCC
Breast Invasive Cancer, NOS 	BRCANOS
Breast Invasive Carcinoma, NOS 	BRCNOS
Breast Invasive Carcinosarcoma, NOS 	CSNOS
Breast Invasive Ductal Carcinoma 	IDC
Breast Invasive Lobular Carcinoma 	ILC
Breast Invasive Mixed Mucinous Carcinoma 	IMMC
Breast Mixed Ductal and Lobular Carcinoma 	MDLC
Solid Papillary Carcinoma of the Breast 	SPC
Epithelial Type Metaplastic Breast Cancer 	EMBC
Mixed Type Metaplastic Breast Cancer 	MMBC
Atypical Choroid Plexus Papilloma 	ACPP
Choroid Plexus Carcinoma 	CPC
Choroid Plexus Papilloma 	CPP
Anaplastic Astrocytoma 	AASTR
Anaplastic Oligoastrocytoma 	AOAST
Anaplastic Oligodendroglioma 	AODG
Astrocytoma 	ASTR
Diffuse Astrocytoma 	DASTR
Diffuse Intrinsic Pontine Glioma 	DIPG
Glioblastoma 	GB
Glioma, NOS 	GNOS
High-Grade Glioma, NOS 	HGGNOS
Oligoastrocytoma 	OAST
Oligodendroglioma 	ODG
Atypical Teratoid/Rhabdoid Tumor 	ATRT
Desmoplastic/Nodular Medulloblastoma 	DMBL
Embryonal Tumor with Abundant Neuropil and True Rosettes 	ETANTR
Large Cell/Anaplastic Medulloblastoma 	AMBL
Medulloblastoma 	MBL
Medulloblastoma with Extensive Nodularity 	MBEN
Medulloepithelioma 	MDEP
Medullomyoblastoma 	MMB
Melanotic Medulloblastoma 	MMBL
Olfactory Neuroblastoma 	ONBL
Primitive Neuroectodermal Tumor 	PNET
Anaplastic Ganglioglioma 	AGNG
Anaplastic Pleomorphic Xanthoastrocytoma 	APXA
Dysembryoplastic Neuroepithelial Tumor 	DNT
Gangliocytoma 	GNC
Ganglioglioma 	GNG
Low-Grade Glioma, NOS 	LGGNOS
Pilocytic Astrocytoma 	PAST
Pilomyxoid Astrocytoma 	PMA
Pleomorphic Xanthoastrocytoma 	PXA
Anaplastic Ependymoma 	APE
Clear Cell Ependymoma 	CCE
Ependymoma 	EPM
Myxopapillary Ependymoma 	MPE
Subependymoma 	SUBE
Choriocarcinoma 	BCCA
Embryonal Carcinoma 	BEC
Germinoma 	GMN
Immature Teratoma 	BIMT
Malignant Teratoma 	BMGT
Mature Teratoma 	BMT
Mixed Germ Cell Tumor 	BMGCT
Yolk Sac Tumor 	BYST
Anaplastic Meningioma 	ANM
Atypical Meningioma 	ATM
Chordoid Meningioma 	CHOM
Clear cell Meningioma 	CCM
Hemangiopericytoma of the Central Nervous System 	HPCCNS
Meningioma 	MNG
Papillary Meningioma 	PPM
Rhabdoid Meningioma 	RHM
Solitary Fibrous Tumor of the Central Nervous System 	SFTCNS
Hemangioblastoma 	HMBL
High-Grade Neuroepithelial Tumor 	HGNET
Low-Grade Neuroepithelial Tumor 	LGNET
Malignant Lymphoma 	MLYM
Malignant Tumor 	MT
Mesenchymal Chondrosarcoma of the CNS 	MCHSCNS
Primary Brain Tumor 	PBT
Primary Neuroepithelial Tumor 	PRNET
Angiocentric Glioma 	ANGL
Astroblastoma 	ASTB
Central Neurocytoma 	CNC
Cerebellar Liponeurocytoma 	CLNC
Chordoid Glioma of the Third Ventricle 	CHGL
Desmoplastic Infantile Astrocytoma 	DIA
Desmoplastic Infantile Ganglioglioma 	DIG
Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease 	LDD
Extraventricular Neurocytoma 	EVN
Papillary Glioneuronal Tumor 	PGNT
Rosette-forming Glioneuronal Tumor of the Fourth Ventricle 	RGNT
Papillary Tumor of the Pineal Region 	PTPR
Pineal Parenchymal Tumor of Intermediate Differentiation 	PPTID
Pineoblastoma 	PBL
Pineocytoma 	PINC
Melanocytoma 	MELC
Primary CNS Melanoma 	PCNSM
Atypical Pituitary Adenoma 	APTAD
Craniopharyngioma, Adamantinomatous Type 	ACPG
Craniopharyngioma, Papillary Type 	PCGP
Granular Cell Tumor 	GCT
Pituicytoma 	PTCY
Pituitary Adenoma 	PTAD
Pituitary Carcinoma 	PTCA
Spindle Cell Oncocytoma of the Adenohypophysis 	SCOAH
Cervical Clear Cell Carcinoma 	CECC
Cervical Endometrioid Carcinoma 	CEEN
Cervical Serous Carcinoma 	CESE
Endocervical Adenocarcinoma 	ECAD
Mesonephric Carcinoma 	CEMN
Mucinous Carcinoma 	CEMU
Villoglandular Carcinoma 	CEVG
Adenocarcinoma of the Gastroesophageal Junction 	GEJ
Adenosquamous Carcinoma of the Stomach 	STAS
Esophageal Adenocarcinoma 	ESCA
Gastric Remnant Adenocarcinoma 	GRC
Small Cell Carcinoma of the Stomach 	STSC
Stomach Adenocarcinoma 	STAD
Undifferentiated Stomach Adenocarcinoma 	USTAD
High-Grade Neuroendocrine Carcinoma of the Esophagus 	HGNEE
High-Grade Neuroendocrine Carcinoma of the Stomach 	HGNES
Well-Differentiated Neuroendocrine Tumors of the Stomach 	SWDNET
Adenoid Cystic Carcinoma of the Lacrimal Gland 	ACLG
Squamous Cell Carcinoma of the Lacrimal Gland 	SCLG
Conjunctival Melanoma 	CM
Uveal Melanoma 	UM
Adenosquamous Carcinoma of the Tongue 	ASCT
Epithelial-Myoepithelial Carcinoma 	EMYOCA
Head and Neck Neuroendocrine Carcinoma 	HNNE
NUT Midline Carcinoma of the Head and Neck 	NMCHN
Odontogenic Carcinoma 	ODGC
Sinonasal Adenocarcinoma 	SNA
Sinonasal Undifferentiated Carcinoma 	SNUC
Head and Neck Squamous Cell Carcinoma of Unknown Primary 	HNSCUP
Hypopharynx Squamous Cell Carcinoma 	HPHSC
Larynx Squamous Cell Carcinoma 	LXSC
Oral Cavity Squamous Cell Carcinoma 	OCSC
Oropharynx Squamous Cell Carcinoma 	OPHSC
Sinonasal Squamous Cell Carcinoma 	SNSC
Parathyroid Carcinoma 	PTHC
Acinic Cell Carcinoma 	ACCC
Adenoid Cystic Carcinoma 	ACYC
Basal Cell Adenocarcinoma 	BCAC
Carcinoma ex Pleomorphic Adenoma 	CAEXPA
Mammary Analogue Secretory Carcinoma of Salivary Gland Origin 	HNMASC
Mucoepidermoid Carcinoma 	MUCC
Myoepithelial Carcinoma 	MYEC
Pleomorphic Adenoma 	PADA
Polymorphous Adenocarcinoma 	PAC
Salivary Adenocarcinoma 	SAAD
Salivary Carcinoma, Other 	OSACA
Salivary Duct Carcinoma 	SDCA
Salivary Gland Oncocytoma 	SGO
Renal Clear Cell Carcinoma 	CCRCC
Renal Non-Clear Cell Carcinoma 	NCCRCC
Atypical Lung Carcinoid 	ALUCA
Large Cell Neuroendocrine Carcinoma 	LUNE
Lung Carcinoid 	LUCA
Small Cell Lung Cancer 	SCLC
Ciliated Muconodular Papillary Tumor of the Lung 	CMPT
Large Cell Lung Carcinoma 	LCLC
Lung Adenocarcinoma 	LUAD
Lung Adenosquamous Carcinoma 	LUAS
Lung Squamous Cell Carcinoma 	LUSC
NUT Carcinoma of the Lung 	NUTCL
Pleomorphic Carcinoma of the Lung 	LUPC
Poorly Differentiated Non-Small Cell Lung Cancer 	NSCLCPD
Salivary Gland-Type Tumor of the Lung 	SGTTL
Spindle Cell Carcinoma of the Lung 	SPCC
B-Lymphoblastic Leukemia/Lymphoma 	BLL
Hodgkin Lymphoma 	HL
Non-Hodgkin Lymphoma 	NHL
Posttransplant Lymphoproliferative Disorders 	PTLD
T-Lymphoblastic Leukemia/Lymphoma 	TLL
Acute Leukemias of Ambiguous Lineage 	ALAL
Acute Myeloid Leukemia 	AML
Blastic Plasmacytoid Dendritic Cell Neoplasm 	BPDCN
Histiocytic and Dendritic Cell Neoplasms 	HDCN
Mastocytosis 	MCD
Myelodysplastic Syndromes 	MDS
Myelodysplastic/Myeloproliferative Neoplasms 	MDS/MPN
Myeloid Neoplasms with Germ Line Predisposition 	MNGLP
Myeloid/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2 	MLNER
Myeloproliferative Neoplasms 	MPN
Acinar Cell Carcinoma, NOS 	ACN
Adenocarcinoma, NOS 	ADNOS
Cancer of Unknown Primary, NOS 	CUPNOS
Neuroendocrine Carcinoma, NOS 	NECNOS
Neuroendocrine Tumor, NOS 	NETNOS
Poorly Differentiated Carcinoma, NOS 	PDC
Small Cell Carcinoma of Unknown Primary 	SCUP
Squamous Cell Carcinoma, NOS 	SCCNOS
Undifferentiated Malignant Neoplasm 	UDMN
High-Grade Neuroendocrine Carcinoma of the Ovary 	HGONEC
High-Grade Serous Fallopian Tube Cancer 	HGSFT
Ovarian Choriocarcinoma, NOS 	OCNOS
Brenner Tumor 	BTOV
Clear Cell Borderline Ovarian Tumor 	CCBOV
Clear Cell Ovarian Cancer 	CCOV
Endometrioid Borderlin Ovarian Tumor 	EBOV
Endometrioid Ovarian Cancer 	EOV
Mixed Ovarian Carcinoma 	MXOV
Mucinous Borderline Ovarian Tumor 	MBOV
Mucinous Ovarian Cancer 	MOV
Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor 	OCS
Ovarian Seromucinous Adenoma 	OSMAD
Ovarian Seromucinous Borderline Tumor 	OSMBT
Ovarian Seromucinous Carcinoma 	OSMCA
Serous Borderline Ovarian Tumor 	SBOV
Serous Borderline Ovarian Tumor, Micropapillary 	SBMOV
Serous Ovarian Cancer 	SOC
Small Cell Carcinoma of the Ovary 	SCCO
Dysgerminoma 	ODYS
Embryonal Carcinoma 	OEC
Immature Teratoma 	OIMT
Mature Teratoma 	OMT
Mixed Germ Cell Tumor 	OMGCT
Polyembryoma 	OPE
Yolk Sac Tumor 	OYST
Fibrothecoma 	FT
Gonadoblastoma 	OGBL
Granulosa Cell Tumor 	GRCT
Sertoli-Leydig Cell Tumor 	SLCT
Steroid Cell Tumor, NOS 	SCT
Intraductal Oncocytic Papillary Neoplasm 	IOPN
Intraductal Papillary Mucinous Neoplasm 	IPMN
Intraductal Tubulopapillary Neoplasm 	ITPN
Mucinous Cystic Neoplasm 	MCN
Serous Cystadenoma of the Pancreas 	PSC
Osteoclastic Giant Cell Tumor 	OSGCT
Basaloid Penile Squamous Cell Carcinoma 	BPSCC
Verrucous Penile Squamous Cell Carcinoma 	VPSCC
Warty Penile Squamous Cell Carcinoma 	WPSCC
Malignant Peripheral Nerve Sheath Tumor 	MPNST
Neurofibroma 	NFIB
Schwannoma 	SCHW
Pleural Mesothelioma, Biphasic Type 	PLBMESO
Pleural Mesothelioma, Epithelioid Type 	PLEMESO
Pleural Mesothelioma, Sarcomatoid Type 	PLSMESO
Acral Melanoma 	ACRM
Congenital Nevus 	SKCN
Cutaneous Melanoma 	SKCM
Desmoplastic Melanoma 	DESM
Lentigo Maligna Melanoma 	SKLMM
Melanoma of Unknown Primary 	MUP
Spitzoid Melanoma 	SPZM
Histiocytic Dendritic Cell Sarcoma 	HDCS
Proximal-Type Epithelioid Sarcoma 	PTES
Sclerosing Epithelioid Fibrosarcoma 	SEF
Dedifferentiated Liposarcoma 	DDLS
Myxoid/Round-Cell Liposarcoma 	MRLS
Pleomorphic Liposarcoma 	PLLS
Well-Differentiated Liposarcoma 	WDLS
Ossifying Fibromyxoid Tumor 	OFMT
Alveolar Rhabdomyosarcoma 	ARMS
Embryonal Rhabdomyosarcoma 	ERMS
Pleomorphic Rhabdomyosarcoma 	PLRMS
Spindle Cell Rhabdomyosarcoma 	SCRMS
Spindle Cell/Sclerosing Rhabdomyosarcoma 	SCSRMS
Choriocarcinoma 	TCCA
Embryonal Carcinoma 	EMBCA
Germ Cell Tumor with Somatic-Type Malignancy 	GCTSTM
Mixed Germ Cell Tumor 	MGCT
Teratoma 	TT
Yolk Sac Tumor 	TYST
Thymic Carcinoma 	THYC
Thymoma 	THYM
Follicular Thyroid Cancer 	THFO
Papillary Thyroid Cancer 	THPA
Poorly Differentiated Carcinoma of the Uterus 	UPDC
Uterine Adenosquamous Carcinoma 	UASC
Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor 	UCS
Uterine Clear Cell Carcinoma 	UCCC
Uterine Dedifferentiated Carcinoma 	UDDC
Uterine Endometrioid Carcinoma 	UEC
Uterine Mesonephric Carcinoma 	UMNC
Uterine Mixed Endometrial Carcinoma 	UMEC
Uterine Mucinous Carcinoma 	UMC
Uterine Neuroendocrine Carcinoma 	UNEC
Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma 	USC
Uterine Undifferentiated Carcinoma 	UUC
Choriocarcinoma 	UCCA
Epithelioid Trophoblastic Tumor 	ETT
Molar Pregnancy 	MP
Placental Site Trophoblastic Tumor 	PSTT
Endometrial Stromal Sarcoma 	ESS
Undifferentiated Uterine Sarcoma 	UUS
Uterine Adenosarcoma 	UAS
Uterine Perivascular Epithelioid Cell Tumor 	UPECOMA
Uterine Sarcoma, Other 	OUSARC
Uterine Smooth Muscle Tumor 	USMT
Dysgerminoma 	VDYS
Embryonal Carcinoma 	VOEC
Immature Teratoma 	VIMT
Mature Teratoma 	VMT
Mixed Germ Cell Tumor 	VMGCT
Polyembryoma 	VPE
Yolk Sac Tumor 	VYST
Benign Phyllodes Tumor of the Breast 	BPT
Borderline Phyllodes Tumor of the Breast 	BLPT
Malignant Phyllodes Tumor of the Breast 	MPT
Metaplastic Adenocarcinoma with Spindle Cell Differentiation 	MASCC
Metaplastic Adenosquamous Carcinoma 	MASC
Metaplastic Squamous Cell Carcinoma 	MSCC
Carcinoma with Chondroid Metaplasia 	CCHM
Carcinoma with Osseous Metaplasia 	COM
Metaplastic Carcinosarcoma 	MCS
Glioblastoma Multiforme 	GBM
Gliosarcoma 	GSARC
Small Cell Glioblastoma 	SCGBM
Gastric Type Mucinous Carcinoma 	GCEMU
Intestinal Type Mucinous Carcinoma 	ICEMU
Signet Ring Mucinous Carcinoma 	SCEMU
Diffuse Type Stomach Adenocarcinoma 	DSTAD
Intestinal Type Stomach Adenocarcinoma 	ISTAD
Mucinous Stomach Adenocarcinoma 	MSTAD
Papillary Stomach Adenocarcinoma 	PSTAD
Tubular Stomach Adenocarcinoma 	TSTAD
Poorly Differentiated Carcinoma of the Stomach 	SPDAC
Signet Ring Cell Carcinoma of the Stomach 	SSRCC
Clear Cell Odontogenic Carcinoma 	CCOC
Renal Clear Cell Carcinoma with Sarcomatoid Features 	SCCRCC
Chromophobe Renal Cell Carcinoma 	CHRCC
Clear Cell Papillary Renal Cell Carcinoma 	CCPRC
Collecting Duct Renal Cell Carcinoma 	CDRCC
FH-Deficient Renal Cell Carcinoma 	FHRCC
Papillary Renal Cell Carcinoma 	PRCC
Renal Angiomyolipoma 	RAML
Renal Medullary Carcinoma 	MRC
Renal Mucinous Tubular Spindle Cell Carcinoma 	MTSCC
Renal Oncocytoma 	ROCY
Renal Small Cell Carcinoma 	RSCC
Sarcomatoid Renal Cell Carcinoma 	SRCC
Translocation-Associated Renal Cell Carcinoma 	TRCC
Unclassified Renal Cell Carcinoma 	URCC
Basaloid Large Cell Carcinoma of the Lung 	BLCLC
Clear Cell Carcinoma of the Lung 	CCLC
Giant Cell Carcinoma of the Lung 	GCLC
Large Cell Lung Carcinoma With Rhabdoid Phenotype 	RLCLC
